Date of Joining,Gender,Job Division,WFH Setup Available,Designation Grade,Resource Allocation,Mental Fatigue Score,Burn Rate
30-09-2008,Female,Service,No,2,3,3.8,0.16
30-11-2008,Male,Service,Yes,1,2,5,0.36
10-03-2008,Female,Product,Yes,2,,5.8,0.49
03-11-2008,Male,Service,Yes,1,1,2.6,0.2
24-07-2008,Female,Service,No,3,7,6.9,0.52
26-11-2008,Male,Product,Yes,2,4,3.6,0.29
02-01-2008,Female,Service,No,3,6,7.9,0.62
31-10-2008,Female,Service,Yes,2,4,4.4,0.33
27-12-2008,Female,Service,No,3,6,,0.56
09-03-2008,Female,Product,No,3,6,,0.67
16-03-2008,Male,Product,Yes,2,3,5.3,0.5
12-05-2008,Male,Service,Yes,0,1,1.8,0.12
20-01-2008,Male,Service,Yes,2,5,,0.4
23-02-2008,Female,Product,No,1,3,,0.33
14-05-2008,Male,Product,Yes,1,3,5.8,0.51
03-02-2008,Female,Service,Yes,3,5,4.7,0.32
17-03-2008,Male,Service,Yes,1,2,5.9,0.39
28-03-2008,Male,Service,No,3,6,6.7,0.59
29-05-2008,Female,Product,Yes,2,4,4,0.22
27-06-2008,Female,Service,No,3,5,,0.68
31-08-2008,Male,Product,No,2,4,7.6,0.57
15-01-2008,Male,Service,Yes,1,3,6.3,0.47
04-05-2008,Male,Service,Yes,1,3,6.7,0.46
17-11-2008,Female,Product,Yes,3,,7.7,0.61
14-09-2008,Female,Service,No,3,8,,0.91
09-10-2008,Female,Service,Yes,3,,5.8,0.4
11-10-2008,Male,Service,No,2,4,6.6,0.44
18-09-2008,Female,Service,No,2,4,7.4,0.6
16-09-2008,Female,Service,No,2,5,6.7,0.46
26-11-2008,Female,Service,Yes,2,4,,0.45
12-05-2008,Female,Product,Yes,1,2,3.6,0.2
16-12-2008,Female,Service,Yes,1,2,3.9,0.2
11-10-2008,Female,Service,No,0,1,3,0.19
10-03-2008,Male,Service,No,1,3,4.7,0.31
03-05-2008,Male,Product,No,4,8,8.7,0.81
04-08-2008,Male,Service,Yes,3,5,4.4,0.39
31-07-2008,Female,Service,Yes,3,6,5.8,0.42
17-06-2008,Female,Product,Yes,0,2,3.9,0.19
28-04-2008,Female,Service,Yes,3,7,6.6,0.56
30-10-2008,Female,Service,No,4,7,7.3,0.53
27-02-2008,Female,Service,Yes,3,5,,0.5
22-06-2008,Female,Product,Yes,1,3,5.4,0.33
18-02-2008,Male,Service,No,2,5,5,0.45
24-06-2008,Female,Service,Yes,2,3,6,0.36
08-12-2008,Female,Service,Yes,3,6,7.5,0.59
05-08-2008,Male,Service,Yes,2,3,,
11-04-2008,Male,Service,No,4,10,10,0.94
26-03-2008,Female,Product,Yes,3,6,,
09-08-2008,Female,Product,No,3,,7.7,0.61
28-08-2008,Female,Product,Yes,1,3,6,0.37
21-03-2008,Male,Service,No,2,6,7.4,0.65
22-07-2008,Female,Service,Yes,2,5,6.4,0.49
20-05-2008,Female,Service,No,1,2,5.1,
23-01-2008,Male,Service,Yes,1,3,5.6,0.38
09-10-2008,Male,Product,No,2,5,7.4,0.62
10-09-2008,Female,Product,Yes,3,5,6.1,0.39
26-05-2008,Female,Product,Yes,2,4,3.1,0.15
22-12-2008,Male,Service,No,2,5,8,0.61
08-04-2008,Female,Product,No,1,2,4,0.26
22-12-2008,Female,Service,No,2,2,3.6,0.28
25-02-2008,Male,Product,Yes,2,5,8.7,0.71
24-04-2008,Male,Product,No,3,,8,0.68
08-01-2008,Female,Service,No,3,5,6.8,0.57
20-11-2008,Female,Service,Yes,2,3,4.9,0.39
11-09-2008,Female,Product,No,3,6,7.9,0.61
11-06-2008,Male,Product,No,3,6,7.6,0.62
28-02-2008,Female,Service,No,5,9,9.2,0.8
03-05-2008,Male,Service,Yes,4,6,6.5,0.63
20-08-2008,Female,Service,No,3,5,6.8,0.6
18-10-2008,Female,Product,No,4,8,8.7,0.79
14-08-2008,Male,Service,Yes,2,5,6.2,0.39
08-01-2008,Female,Service,No,3,5,5.8,0.36
17-07-2008,Female,Product,No,2,4,6.6,0.5
11-09-2008,Male,Product,No,4,7,8.2,0.72
05-07-2008,Female,Service,Yes,2,3,4.9,0.34
04-02-2008,Female,Service,No,1,2,4.1,0.27
01-08-2008,Male,Service,No,3,7,7.4,0.66
01-05-2008,Female,Product,Yes,0,1,,0.04
21-05-2008,Male,Service,Yes,1,2,4.4,0.27
26-11-2008,Female,Service,No,2,6,6.9,0.67
21-10-2008,Female,Product,Yes,1,2,5.3,0.38
19-03-2008,Female,Service,Yes,2,2,4.3,0.28
27-09-2008,Male,Product,Yes,0,1,0.8,0.05
28-03-2008,Female,Service,Yes,2,4,2.9,0.22
12-03-2008,Female,Service,Yes,1,3,5,0.39
20-05-2008,Male,Service,Yes,1,4,6.9,0.52
17-09-2008,Female,Service,No,3,5,4.7,0.39
13-02-2008,Female,Service,No,1,3,2,0.11
19-09-2008,Female,Service,No,2,4,5.4,0.44
03-07-2008,Male,Product,No,2,5,6.1,0.5
27-10-2008,Female,Product,Yes,1,4,5.1,0.41
09-08-2008,Female,Service,Yes,1,2,3.8,
22-01-2008,Male,Product,No,4,9,,0.76
15-04-2008,Female,Service,Yes,3,5,4.7,0.43
26-10-2008,Male,Service,Yes,3,5,5.4,0.46
31-01-2008,Female,Service,No,4,7,9.1,0.85
03-01-2008,Male,Service,Yes,1,3,5,0.35
13-03-2008,Male,Product,No,1,1,0,0
27-03-2008,Male,Product,Yes,2,4,4.3,0.34
20-08-2008,Female,Service,Yes,2,,6.7,0.44
11-10-2008,Female,Product,No,2,5,5.7,0.55
15-11-2008,Male,Service,Yes,4,6,6.8,0.62
17-08-2008,Male,Service,No,3,6,7.6,0.72
30-11-2008,Male,Product,Yes,3,8,8.3,0.71
08-08-2008,Female,Product,No,1,3,5.5,0.39
28-06-2008,Female,Service,No,1,3,5.3,0.48
06-05-2008,Female,Service,No,3,7,8,0.7
17-12-2008,Male,Service,Yes,4,6,6.4,0.56
08-09-2008,Female,Service,Yes,1,3,3.6,0.27
04-07-2008,Female,Product,Yes,2,5,7,0.66
28-10-2008,Female,Product,No,3,7,7.6,0.56
06-05-2008,Male,Service,No,2,5,8.7,0.79
19-02-2008,Female,Product,Yes,0,1,2.6,0.18
08-04-2008,Female,Service,Yes,2,4,4.7,0.33
11-02-2008,Male,Service,Yes,2,4,6.4,0.4
02-03-2008,Female,Service,No,2,5,5.8,0.39
10-08-2008,Female,Service,No,1,1,3.3,0.23
04-01-2008,Female,Product,Yes,2,4,5.9,0.45
12-10-2008,Female,Product,No,2,,7.8,0.67
14-11-2008,Male,Product,Yes,1,3,7,0.52
02-09-2008,Female,Service,No,4,7,7.2,0.6
04-10-2008,Male,Service,Yes,3,7,7.9,0.59
31-05-2008,Female,Product,No,3,5,,
16-09-2008,Female,Service,Yes,1,3,5.9,0.36
03-03-2008,Male,Service,No,1,3,4.4,0.29
21-02-2008,Male,Service,Yes,2,5,5.2,0.34
26-03-2008,Female,Product,Yes,2,4,5.3,0.34
03-02-2008,Male,Service,No,3,5,,
04-12-2008,Female,Service,No,4,6,,0.67
05-09-2008,Female,Product,Yes,4,,8.9,0.76
17-09-2008,Female,Product,Yes,3,4,5.2,0.46
24-02-2008,Male,Service,Yes,2,5,4.5,0.36
09-12-2008,Female,Product,No,2,3,6.6,0.45
19-01-2008,Female,Product,Yes,3,5,3.8,0.27
26-01-2008,Male,Product,No,3,7,7.6,0.65
10-05-2008,Female,Service,Yes,1,4,,
16-05-2008,Female,Product,Yes,3,6,5.6,0.34
10-08-2008,Female,Service,Yes,1,3,5.4,0.37
28-06-2008,Male,Product,Yes,1,2,4.9,0.25
07-05-2008,Male,Service,No,2,5,7.3,0.57
03-05-2008,Male,Service,No,2,5,5.6,0.52
16-09-2008,Female,Product,Yes,3,4,5.7,
16-10-2008,Female,Product,No,4,8,7.8,0.75
09-07-2008,Female,Product,Yes,4,7,6.7,0.55
11-03-2008,Female,Service,No,1,4,6.5,0.43
15-08-2008,Female,Service,Yes,0,1,1.8,0.1
25-08-2008,Female,Product,No,3,6,8.1,0.68
14-12-2008,Male,Product,No,2,5,6.9,
26-04-2008,Male,Service,Yes,3,7,6.4,0.56
26-01-2008,Male,Service,Yes,3,8,7.2,0.73
05-09-2008,Female,Service,No,2,5,8.6,0.7
03-04-2008,Male,Service,No,2,5,,0.58
19-12-2008,Male,Product,No,4,8,9.5,0.88
13-08-2008,Male,Product,Yes,2,6,6.8,0.63
08-03-2008,Female,Service,No,2,5,6.5,0.62
14-09-2008,Female,Service,Yes,2,3,3.5,0.25
24-04-2008,Male,Service,No,2,3,4.8,0.4
05-02-2008,Male,Product,No,3,8,7.6,0.77
17-02-2008,Male,Product,Yes,3,6,6.2,0.58
11-09-2008,Female,Product,Yes,3,6,3.6,0.3
16-04-2008,Male,Product,No,3,6,8,0.61
24-10-2008,Female,Service,Yes,3,5,6,0.4
05-03-2008,Female,Service,Yes,1,3,3.8,0.33
03-04-2008,Female,Product,Yes,1,2,2.4,0.06
08-08-2008,Male,Service,Yes,1,4,4.3,0.36
